run,inicio_aleatorio,destino_aleatorio,algoritimo,nos_expandidos,memoria_usada,fator_de_ramificacao,tempo_execucao
39,"(34.287834, -119.208203)","(31.404797, -101.250391)",A_star_harvesine,51240,582372,2.9350817409308547,90.00436806678772
39,"(34.287834, -119.208203)","(31.404797, -101.250391)",A_star_euclidian_distance,50347,508636,2.908908165271921,90.00829267501831
40,"(38.9132, -104.873981)","(35.305522, -119.875965)",BFS,238,14304,1.7246376811594204,90.4775640964508
40,"(38.9132, -104.873981)","(35.305522, -119.875965)",DFS,27,1792,1.4210526315789473,10.220127582550049
40,"(38.9132, -104.873981)","(35.305522, -119.875965)",UCS,210,12040,1.75,90.4775242805481
40,"(38.9132, -104.873981)","(35.305522, -119.875965)",A_star_harvesine,53038,548604,3.20875781948168,90.01409602165222
40,"(38.9132, -104.873981)","(35.305522, -119.875965)",A_star_euclidian_distance,52528,548604,3.204224244466914,90.00386619567871
41,"(44.211915, -100.916908)","(46.128033, -122.961122)",BFS,201,12232,1.9514563106796117,90.46385097503662
41,"(44.211915, -100.916908)","(46.128033, -122.961122)",DFS,23,1568,1.2105263157894737,10.120589017868042
41,"(44.211915, -100.916908)","(46.128033, -122.961122)",UCS,188,10808,2.0,90.13161945343018
41,"(44.211915, -100.916908)","(46.128033, -122.961122)",A_star_harvesine,49264,511612,2.7449462176370956,90.00024175643921
41,"(44.211915, -100.916908)","(46.128033, -122.961122)",A_star_euclidian_distance,51721,511612,2.7822713027906283,90.00982213020325
42,"(33.568753, -112.177585)","(40.140078, -100.437369)",BFS,247,14808,2.627659574468085,90.47676801681519
42,"(33.568753, -112.177585)","(40.140078, -100.437369)",DFS,39,2464,2.0526315789473686,10.25320029258728
42,"(33.568753, -112.177585)","(40.140078, -100.437369)",UCS,267,15232,2.8105263157894735,90.46292495727539
42,"(33.568753, -112.177585)","(40.140078, -100.437369)",A_star_harvesine,55759,532796,3.6529361862569516,90.01268362998962
42,"(33.568753, -112.177585)","(40.140078, -100.437369)",A_star_euclidian_distance,55025,532796,3.6432067228495715,90.00594830513
43,"(38.47321, -122.582694)","(44.531639, -118.478664)",BFS,200,12176,1.8018018018018018,90.13748717308044
43,"(38.47321, -122.582694)","(44.531639, -118.478664)",DFS,23,1568,1.2105263157894737,10.095810174942017
43,"(38.47321, -122.582694)","(44.531639, -118.478664)",UCS,197,11312,1.7130434782608697,90.4113142490387
43,"(38.47321, -122.582694)","(44.531639, -118.478664)",A_star_harvesine,53360,529852,2.858057375981945,90.00548267364502
43,"(38.47321, -122.582694)","(44.531639, -118.478664)",A_star_euclidian_distance,52990,529852,2.8532339934209094,90.00014162063599
44,"(45.534187, -100.431114)","(46.066856, -114.130057)",BFS,296,17552,5.481481481481482,90.0968062877655
44,"(45.534187, -100.431114)","(46.066856, -114.130057)",DFS,33,2128,1.736842105263158,10.165312051773071
44,"(45.534187, -100.431114)","(46.066856, -114.130057)",UCS,295,16800,5.566037735849057,90.11536622047424
44,"(45.534187, -100.431114)","(46.066856, -114.130057)",A_star_harvesine,52016,442788,4.400104071809548,90.01217246055603
44,"(45.534187, -100.431114)","(46.066856, -114.130057)",A_star_euclidian_distance,52675,481828,4.3568598379304175,90.00222826004028
45,"(34.960127, -106.696025)","(33.015043, -117.047565)",BFS,214,12960,1.5285714285714285,90.46711206436157
45,"(34.960127, -106.696025)","(33.015043, -117.047565)",DFS,27,1792,1.4210526315789473,10.071768522262573
45,"(34.960127, -106.696025)","(33.015043, -117.047565)",UCS,191,10976,1.4580152671755726,90.0656361579895
45,"(34.960127, -106.696025)","(33.015043, -117.047565)",A_star_harvesine,50690,558532,3.2239613172307906,90.0008716583252
45,"(34.960127, -106.696025)","(33.015043, -117.047565)",A_star_euclidian_distance,48916,551844,3.167951053196955,90.00099420547485
46,"(48.296129, -122.654888)","(37.426486, -120.730619)",BFS,264,15760,2.5142857142857142,90.1036627292633
46,"(48.296129, -122.654888)","(37.426486, -120.730619)",DFS,38,2408,2.0,10.109853029251099
46,"(48.296129, -122.654888)","(37.426486, -120.730619)",UCS,233,13328,1.806201550387597,90.3458034992218
46,"(48.296129, -122.654888)","(37.426486, -120.730619)",A_star_harvesine,50678,496700,2.668868720979316,90.00759363174438
46,"(48.296129, -122.654888)","(37.426486, -120.730619)",A_star_euclidian_distance,50148,493564,2.665200671383347,90.01075434684753
47,"(34.229343, -118.536568)","(35.299233, -119.317364)",BFS,264,15760,3.6164383561643834,90.38867521286011
47,"(34.229343, -118.536568)","(35.299233, -119.317364)",DFS,36,2296,1.894736842105263,10.113414287567139
47,"(34.229343, -118.536568)","(35.299233, -119.317364)",UCS,278,15848,4.557377049180328,90.46649932861328
47,"(34.229343, -118.536568)","(35.299233, -119.317364)",A_star_harvesine,55177,509476,3.658845771626633,90.00664067268372
47,"(34.229343, -118.536568)","(35.299233, -119.317364)",A_star_euclidian_distance,56069,509476,3.602091179153704,90.01365923881531
48,"(40.507968, -112.048538)","(35.494079, -108.720712)",BFS,216,13072,1.6240601503759398,90.33107376098633
48,"(40.507968, -112.048538)","(35.494079, -108.720712)",DFS,24,1624,1.263157894736842,10.12638258934021
48,"(40.507968, -112.048538)","(35.494079, -108.720712)",UCS,238,13608,2.18348623853211,90.40085029602051
